,classification
MAMMALIAN PCB-BINDING PROTEIN,2
RECEPTOR/SIGNALING PROTEIN,2
"Cell adhesion, immune system",2
"CHAPERONE,PROTEIN TRANSPORT",2
Transferase/Splicing,2
HYDROLASE(ZYMOGEN),2
SH2-DOMAIN,2
ION CHANNEL INHIBITOR,2
"VIRAL PROTEIN, REPLICATION",2
BACTERIAL INFECTION,2
LIPOPROTEINULLNTIGEN,2
REGULATION,2
MATRIX METALLOPROTEINASE,2
"ANTITUMOR PROTEIN, ANTIVIRAL PROTEIN",2
OXIDOREDUCTASE/STRUCTURAL PROTEIN,2
VIRAL PROTEIN/WINGED HELIX,2
TRANSPORT PROTEIN/MEMBRANE PROTEIN,2
GLYCOLYTIC PATHWAY,2
GENE REGULATORY PROTEIN,2
"HYDROLASE REGULATOR,DNA BINDING PROTEIN",2
LIPASE PROTEIN COFACTOR,2
COMPLEX (PROTO-ONCOGENE/PEPTIDE),2
ANTIGEN,2
COMPLEX (OXIDOREDUCTASE/SUBSTRATE),2
CONOTOXIN,2
TRANSPORT PROTEIN/RECEPTOR,2
Transferase/VIRAL PROTEIN,2
THYROXINE BINDING PROTEIN,2
"STRUCTURAL PROTEIN, HYDROLASE",2
PHEROMONE-BINDING PROTEIN,2
"Sugar binding protein, Plant protein",2
CHAPERONE/CHAPERONE,2
"RECOMBINATION, DNA BINDING PROTEIN",2
NONSTRUCTURAL PROTEIN,2
TOXIN/LECTIN,2
Signaling PROTEIN/membrane protein,2
SIGNALING REGULATOR,2
GLOBULIN,2
COMPLEX(CALCIUM-BINDING PROTEIN/PEPTIDE),2
COMPLEX (CHEMOTAXIS/PEPTIDE),2
"STRUCTURAL GENOMICS, DE NOVO PROTEIN",2
Receptor Associated Protein,2
"TRANSPORT PROTEIN,IMMUNE SYSTEM",2
"SUGAR BINDING PROTEIN, IMMUNE SYSTEM",2
CELL CYCLE/PROTEIN-BINDING,2
TRIOSE PHOSPHATE ISOMERASE,2
ARGININE-BINDING PROTEIN,2
HYDROLASE (GLYCOSYL HYDROLASE),2
BOWMAN-BIRK INHIBITOR,2
LYASE/SIGNALING PROTEIN,2
ODORANT-BINDING,2
Structural Genomics Unknown Function,2
VIRAL PROTEIN/ISOMERASE,2
CHELATASE,2
LYASE (ACTING ON POLYSACCHARIDES),2
OXIDOREDUCTASE/FLAVOPROTEIN,2
hydrolase/sugar binding protein,2
hydrolase/PROTEIN BINDING,2
RECEPTOR/OXIDOREDUCTASE COMPLEX,2
PROTEIN BINDING PROTEIN,2
LECTIN/IMMUNE SYSTEM,2
"GENE REGULATION, CHAPERONE",2
SIGNALLING,2
ATPASE/MYOSIN,2
COMPLEX (GLYCOSIDASE/INHIBITOR),2
PYRIDOXAL PHOSPHATE,2
STRESS PROTEIN/LIPOCALIN,2
DEVELOPMENTAL PROTEIN,2
"membrane protien, metal transport",2
PRODUCT COMPLEX,2
PFPI/THIJ FAMILY,2
SH3 DOMAIN/UBIQUITIN,2
BACTERIAL ANTIBIOTIC RESISTANCE,2
"METAL BINDING PROTEIN, LIPID BINDING PROTEIN",2
ENDOCYTOSIS/SIGNALING PROTEIN,2
Protease Inhibitor,2
"hydrolase,Allergen",2
DNA binding protein inhibitor,2
"TRANSFERASE, signaling protein",2
peptidoglycan-binding protein,2
METAL BINDING PROTEIN/STRUCTURAL PROTEIN,2
LIGASE/TRANSCRIPTION REGULATOR,2
"PHOTOSYNTHESIS,MEMBRANE PROTEIN",2
Metal Binding Protein/Transferase,2
VIRAL PROTEIN/RECEPTOR,2
Transcription/Nuclear protein,2
IMMUNE PROTEIN,2
MONOCLONAL ANTIBODY,2
hydrolase/hydrolase INHIBITOR,2
NUCLEAR PROTEIN/TRANSCRIPTION,2
CA-BINDING PROTEIN/PROTON TRANSPORT,2
NUCLEOTIDE BINDING,2
Carbohydrate-Binding Protein,2
ANTIBACTERIAL PEPTIDE,2
Electron transport/Oxidoreductase,2
ONCOPROTEIN/CELL ADHESION,2
DNA excision repair,2
ROTAMASE (ISOMERASE),2
COMPLEX (TRANSCRIPTION FACTORS),2
"HYDROLASE, RNA BINDING PROTEIN",2
SIGNALING PROTEIN/NEUROPEPTIDE,2
DE NOVO PROTEIN/LIGAND BINDING PROTEIN,2
NUCLEAR PROTEIN/ANTITUMOUR PROTEIN,2
COMPLEX (TWO TRANSCRIPTION FACTORS),2
pre-mRNA processing protein,2
Oxygen storage/transport,2
CHAPERONE-BINDING PROTEIN/CHAPERONE,2
Structural Protein/cell Adhesion,2
APOPTOSIS/APOPTOSIS ACTIVATOR,2
"TRANSFERASE, PLANT PROTEIN",2
MEMBRANE PROTEIN/TOXIN,2
"RNA BINDING PROTEIN, TRANSLATION",2
"RNA BINDING PROTEIN, PLANT PROTEIN",2
"MEMBRANE PROTEIN, Peptide binding protein",2
PROTEIN TRANSPORT/METAL TRANSPORT,2
CELL SHAPE REGULATION,2
"Membrane Protein, Immune System",2
METALLOREGULATION,2
CONTRACTILE PROTEIN/CA BINDING PROTEIN,2
OCTREOTIDE,2
ENDOCYTOSIS/PROTEIN BINDING,2
METAL BINDING PROTEIN/EXOCYTOSIS,2
Toxin/Toxin Repressor,2
COMPLEX (TRANSFERASE/INHIBITOR),2
COMPLEX (SERINE PROTEINASE/PROSEGMENT),2
DEHYDROGENASE INHIBITOR,2
TRANSFERASE/transcription,2
Ligase/Hydrolase,2
"viral protein, RNA binding protein",2
COMPLEX (SEMINAL PLASMA PROTEIN/SPP),2
APOPTOSIS INHIBITOR/APOPTOSIS,2
de novo protein/sugar binding protein,2
Chaperone/Nuclear Protein,2
"TRANSCRIPTION, SIGNALING PROTEIN",2
"Signaling Protein, Transport Protein",2
METAL BINDING PROTEIN/PEPTIDE BINDING PROTEIN,2
SUPERANTIGEN,2
Ligase/Signaling Protein,2
"TRANSPORT PROTEIN, PROTEIN BINDING",2
PEPTIDE NUCLEIC ACID,2
SIGNALING PROTEIN/ONCOPROTEIN,2
"CELL INVASION, SIGNALING PROTEIN",2
PROTEIN BINDING/ONCOPROTEIN,2
RNA Binding Protein / Viral Protein,2
COMPLEX(TRANSFERASE/PEPTIDE),2
PROTEIN BINDING/ENDOCYTOSIS,2
hormone/growth factor/receptor,2
"TRANSCRIPTION, APOPTOSIS",2
SIGNALING PROTEIN/PEPTIDE BINDING PROTEIN,2
TRANSCRIPTION/DNA BINDING PROTEIN,2
"PROTEIN BINDING, RNA BINDING PROTEIN",2
COMPLEX (SYNTROPHIN/PEPTIDE),2
MICROTUBULES,2
PHOSPHOTRANSFERASE (CARBOXYL ACCEPTOR),2
QUINONE-REDUCTASE (CYTOSOLIC),2
TRANSFERASE(KETONE RESIDUES),2
"SIGNALING PROTEIN,CELL CYCLE",2
"CYTOKINE,SIGNALING PROTEIN",2
"ANTIVIRAL PROTEIN,SUGAR BINDING PROTEIN",2
"Chaperone, hydrolase",2
HYDROLASE CHIMERA,2
COMPLEX(LYMPHOKINE/RECEPTOR),2
CELL CYCLE/GENE REGULATION,2
"TRANSCRIPTION, VIRUS/VIRAL PROTEIN",2
TROPOMYOSIN,2
"SIGNALING PROTEIN, CYTOKINE",2
Membrane protein/Cell adhesion,2
MOTOR PROTEIN/TRANSCRIPTION,2
METAL-BINDING PROTEIN/INHIBITOR,2
BIOSYNTHETIC PROTEIN/FLAVOPROTEIN,2
CALCIUM BINDING PROTEIN/PROTEIN FIBRIL,2
ACTIN CYTOSKELETON,2
COMPLEX (ELECTRON TRANSPORT PROTEINS),2
BINDING PROTEIN(CALCIUM),2
TONB DEPENDENT RECEPTOR,2
HYDROLASE (ASPARTYL ESTERASE),2
"GENE REGULATION, LIGAND BINDING PROTEIN",2
"GENE REGULATION, APOPTOSIS",2
RETINOL-BINDING,2
"TRANSFERASE,GENE REGULATION",2
PURINE BIOSYNTHESIS,2
"PROTEIN BINDING, METAL BINDING PROTEIN",2
COMPLEX(GTPASE ACTIVATN/PROTO-ONCOGENE),2
PENICILLIN BINDING,2
ligase/TRANSPORT PROTEIN,2
"Structural Protein, RNA binding protein",2
"CHAPERONE, METAL TRANSPORT",2
LIGASE/peptide,2
"TRANSFERASE, TRANSLATION",2
METAL BINDING PROTEIN/LIGASE,2
"hydrolase, DNA binding protein",2
"HYDROLASE, Metal Binding Protein",2
VIRAL PROTEIN/TRANSCRIPTION,2
STRUCTURAL PROTEIN/DE NOVO PROTEIN,2
Cytokine Regulator,2
ION TRANSPORT/MEMBRANE PROTEIN,2
HYDROLASE(PHOSPHORYLATION),2
"PROTEIN FIBRIL, METAL BINDING PROTEIN",2
Metal binding protein/target peptide,2
ligase/RNA Binding Protein,2
extracellular matrix,2
"Structural Genomics, transferase",2
CHAPERONE/MEMBRANE PROTEIN,2
periplasmic binding protein,2
CALMODULIN-BINDING PROTEIN,2
COMPLEX (HYDROLASE/CYTIDYLIC ACID),2
"BIOSYNTHETIC PROTEIN, TRANSLATION",2
IMMUNOGLOBULIN(PART)SEQUESTERS ANTIGENS,2
replication/signaling protein,2
IMMUNOGLOBULIN-LIKE DOMAIN,2
surface active protein,2
LANTIBIOTIC-BINDING PROTEIN,2
Isomerase/Translation regulator,2
RAS-BINDING DOMAIN,2
SERINE KINASE,2
TRANSLATION/ANTIBIOTIC RESISTANCE,2
Protein Binding/Transferase,2
"Protein Transport,Antimicrobial Protein",2
"STRUCTURAL GENOMICS, TRANSCRIPTION",2
RIBOSOME BINDING FACTOR,2
PEPTIDE BINDING,2
"ENDOCYTOSIS, PROTEIN BINDING",2
THIOESTERASE,2
TRANSLATIONAL REGULATOR PROTEIN,2
METAL TRANSPORT/HYDROLASE,2
TRANSCRIPTIONAL COACTIVATOR,2
RETINOIC ACID TRANSPORT,2
Hydrolase/RNA binding protein,2
oxidoreductase/lyase,2
Hydrolase Inhibitor/blood clotting,2
CELL ADHESION/Transferase,2
Hydrolase/protein binding,2
HYDROLASE INHIBITOR(SERINE PROTEINASE),2
ISOMERASE/PROTEIN KINASE,2
COMPLEX (ACETYLATION/ACTIN-BINDING),2
"blood clotting,hydrolase",2
"CELL ADHESION, METAL BINDING PROTEIN",2
PEPTIDE BINDING/SIGNALING PROTEIN,2
"CELL ADHESION, TRANSPORT PROTEIN",2
"Transferase,Signaling protein",2
transcription receptor,2
"STRUCTURAL GENOMICS, LIGASE",2
"METAL, LIPID BINDING PROTEIN",2
MACROPHAGE COLONY STIMULATING FACTOR,2
Virus like Particle/peptide,2
"MEMBRANE PROTEIN, ion transport",2
"MEMBRANE PROTEIN,  ion transport",2
"Structural Genomics, ISOMERASE",2
"lipid binding, retinal binding",2
"TRANSCRIPTION, LIGAND BINDING PROTEIN",2
CYSTEINE MOTIF,2
KRINGLE,2
"Plant Protein, BIOSYNTHETIC PROTEIN",2
iron binding protein,2
chaperone  activator,2
ADENYLATE KINASE,2
Isomerase/RNA binding protein,2
OXIDOREDUCTASE(CH-OH(D)-NAD(A)),2
COMPLEX (GTP-BINDING/GTPASE ACTIVATION),2
"HYDROLASE, HYDROLASE ACTIVATOR",2
OXIDOREDUCTASE(CH-OH(D)-CYTOCHROME(A)),2
chaperone/inhibitor,2
"TRANSCRIPTION, DNA REPAIR",2
Transcription/Transcription regulator,2
"CELL CYCLE, PEPTIDE BINDING PROTEIN",2
AMINO-ACID BINDING PROTEIN,2
cAMP-binding protein,2
"Hydrolase, Gene Regulation",2
chaperone/Inhibitor,2
CELL SURFACE PROTEIN,2
Viral Protein/SIGNALING PROTEIN,2
RNA binding/Protein transport,2
Chaperone/Ribosomal protein,2
UNKNOWN BACTERIAL HYDROLASE,2
COMPLEX (OPERON REPRESSOR/PEPTIDE),2
GLYCINE BETAINE-BINDING PROTEIN,2
"Nucleotide binding protein, Metal binding protein",2
Transferase/Transferase Product,2
OPERON REPRESSOR,2
metal binding protein/Transferase,2
OXIDOREDUCTASE (NAD(A)-ALDEHYDE(D)),2
TRANCRIPTION CO-REPRESSOR,2
Hydrolase/Structural protein,2
"DNA REPAIR, HYDROLASE",2
ISOMERASE REGULATOR,2
"TRANSFERASE, RNA BINDING PROTEIN",2
ZINC METALLOPROTEASE,2
"OXIDOREDUCTASE, APOPTOSIS",2
LIGAND TRANSPORT,2
"Amino-acid biosynthesis, lysine biosynthesis, Transferase",2
SIGNALING PROTEIN/GROWTH FACTOR RECEPTOR,2
"DNA,RNA Binding Protein",2
"Transcription, Transcription Regulation",2
transcription regulation/ANTIBIOTIC,2
COMPLEX (TOXIN/GROWTH FACTOR),2
ACID PROTEASE,2
"VIRAL PROTEIN, FUSION PROTEIN",2
Translation regulation/HYDROLASE,2
Globulin,2
HYDROLASE (BETA-LACTAMASE),2
GTP binding protein/Transferase,2
GTP BINDING PROTEIN/TRANSFERASE,2
COMPLEX (CYTOKINE RECEPTOR/ANTAGONIST),2
COMPLEX (TRANSFERASE/SUBSTRATE),2
"Oxidoreductase,Hydrolase",2
PROTEIN BINDING/CELL CYCLE,2
MEMBRANE PROTEIN/ISOMERASE,2
RHOA-BINDING PROTEIN,2
PHOSPHOMONOESTERASE,2
hydroxylase,2
Structural protein/chaperone,2
"CELL ADHESION, CELL INVASION, APOPTOSIS",2
"SUGAR BINDING PROTEIN, SIGNALING PROTEIN",2
LIGAND RECEPTOR/TRANSCRIPTION REGULATION,2
"VIRAL PROTEIN,HYDROLASE",2
Adenosyl binding protein,2
Transcription/Sugar Binding Protein,2
"Membrane protein, transport protein",2
VIRAL PROTEIN/ENDOCYTOSIS,2
"RIBOSOMAL PROTEIN, SIGNALING PROTEIN",2
"LIPID TRANSPORT, MEMBRANE PROTEIN",2
HYDROLASE (ACTING ON ACID ANHYDRIDES),2
PhosphatidylEthanolamine-Binding Protein,2
LEUCINE ZIPPERS,2
"LIGASE, PROTEIN BINDING",2
acyl-CoA binding protein,2
SACCHARIDE BINDING PROTEIN,2
"Immune System, Sugar Binding Protein",2
VIB BINDING PROTEIN,2
"RIBOSOMAL PROTEIN,HYDROLASE",2
TRANSLATION/TRANSPORT PROTEIN,2
"Immune system, Lysozyme",2
ANTITUMOR,2
Glycine cleavage H-protein,2
"TRANSCRIPTION, CELL CYCLE",2
Transcription/Replication,2
"TOXIN, TRANSPORT PROTEIN",2
PHOSPHOLIPASE,2
CARBOHYDRATE-BINDING DOMAIN,2
transferase / transferase inhibitor,2
PROTEIN TRANSPORT/ENDOCYTOSIS,2
TRANSCRIPTION/PROTEIN BINDING/INHIBITOR,2
"HORMONE RECEPTOR, SIGNALING PROTEIN",2
LECTIN BINDING,2
TRANSPORT PROTEIN/TRANSPORT PROTEIN,2
"ISOMERASE, DNA BINDING PROTEIN",2
COMPLEX (ANTI-ONCOGENE/ANKYRIN REPEATS),2
TRANSFER PROTEIN,2
Transferase/CELL CYCLE,2
XIDOREDUCTASE,2
"RNA BINDING PROTEIN, Transport protein",2
MANNOSE-BINDING PROTEIN,2
"structural genomics, Aldolase",2
GENE REGULATION/TRANSFERASE,2
"LIGASE,SIGNALING PROTEIN,IMMUNE SYSTEM",2
"Hydrolase, Toxin",2
ANK-REPEAT,2
NADPH-BINDING PROTEIN,2
TUBERCULOSIS,2
"LYASE, OXIDOREDUCTASE",2
Odorant-binding protein,2
"ENDOCYTOSIS/EXOCYTOSIS, TRANSCRIPTION",2
HYDROLASE(CARBOXYL ESTER),2
TPP Binding Protein,2
"APOPTOSIS, LIGASE",2
HEPATIC LECTIN,2
hydrolase/HORMONE/GROWTH FACTOR,2
CIRCADIAN RHYTHM,2
PROTEIN-BINDING/HYDROLASE,2
TRANSFERASE/RECEPTOR,2
"HYDROLASE, TRANSLATION",2
"CELL CYCLE,TRANSCRIPTION",2
CONCANAVALIN A,2
Oxidoreductase/TRANSCRIPTION,2
APOCRUSTACYANIN,2
ANTI-AMPICILLIN ANTIBODIES,2
"PROTEIN TRANSPORT, SUGAR BINDING PROTEIN",2
ACETYLATION AND ACTIN-BINDING,2
RNA BINDING PROTEIN/Transferase,2
ANION EXCHANGE,2
"hormone, Transport protein",2
ARCHAEAL IMP4-BRIX DOMAIN,2
NITRITE REDUCTASE,2
ERH(ENHANCER OF RUDIMENTARY HOMOLOG),2
"DE NOVO PROTEIN, SUGAR BINDING PROTEIN",2
"METAL BINDING PROTEIN,UNKNOWN FUNCTION",2
ELECTRON TRANSPORT/Oxidoreductase,2
TUMOR-ASSOCIATED PROTEIN,2
Blood Clotting/Inhibitor,2
Hormone/Hormone Receptor,2
TRANSFERASE (PHOSPHORYL),2
"HORMONE, TRANSCRIPTION RECEPTOR",2
STRUCTURAL PROTEIN/STRUCTURAL PROTEIN REGULATOR,2
ANTIBACTERIAL AND ANTITUMOR PROTEIN,2
TRANSCRIPTION/TRANSCRIPTION agonist,2
HYDROLASE/APOPTOSIS,2
PHOSPHORYLCHOLINE-BINDING PROTEIN,2
hydrolase Inhibitor/Hydrolase,2
TOXIN/peptide Inhibitor,2
HEPARIN-BINDING GROWTH FACTOR,2
RADIATION DAMAGE,2
"PROTEIN BINDING, DNA BINDING PROTEIN",2
COMPLEX (TRANSFERASE/PHOSPHOCARRIER),2
"Ligase, Hydrolase",2
"SIGNALING PROTEIN, HYDROLASE/ANTIBIOTIC",2
CYTOKINE REGULATOR,2
"Cell Adhesion, Structural Protein",2
REPLICATION/TRANSFERASE,2
CYTOKINE/VIRAL PROTEIN,2
TRIPLE-HELIX COILED COIL,2
"SYNTHASE, LYASE",2
KINASE/HYDROLASE,2
"DNA repair, HYDROLASE, LYASE",2
"STRUCTURAL GENOMICS, SIGNALING PROTEIN",2
Actin binding Protein,2
"ACTIN BINDING, STRUCTURAL PROTEIN",2
signaling protein / HYDROLASE,2
TOXOFLAVIN BINDING PROTEIN,2
OXIDOREDUCTASE/Signaling Protein,2
"SUGAR BINDING, DNA BINDING PROTEIN",2
Transcription/antitumor Protein,2
"FLAVOPROTEIN, Oxidoreductase",2
"MEMBRANE PROTEIN, PROTON TRANSPORT",2
"transcription, viral protein",2
"PROTEIN BINDING, TRANSCRIPTION",2
Transferase Activator,2
BIOTIN,2
OXIDOREDUCTASE (ALDEHY(D)-NAD(A)),2
CHEMOKINE(GROWTH FACTOR),2
ANTIOXIDANT ENZYME,2
SERINE PROTEINASE/HYDROLASE SUBSTRATE,2
COMPLEX (HYDROLASE/TOXIN),2
AMINE/CARBOXYLATE LIGASE,1
FERREDOXIN,1
Tranferase/Transferase Inhibitor,1
"Ligase, Signaling Protein",1
DNA-BINDING DOMAIN,1
STRUCTURAL GENOMICS  UNKNOWN FUNCTION,1
"APOPTOSIS, METAL BINDING PROTEIN",1
Erythrocyte binding protein,1
GALECTIN,1
hydrolyase/translation,1
MYOGLOBIN (ETHYL ISOCYANIDE),1
COMPLEX (LYASE/PEPTIDE),1
"DE NOVO PROTEIN, LIPID BINDING PROTEIN",1
Transfease/Transferase Inhibitor,1
MAST CELL DEGRANULATION,1
POTASSIUM CHANNEL BLOCKER,1
ELECTRON TRANSPORT(IRON),1
"MEMBRANE PROTEIN,APOPTOSIS",1
TRANSLATION REPRESSOR,1
"IMMUNE SYSTEM, signaling protein",1
Transcription/Cell Cycle,1
"MEMBRANE PROTEIN,IMMUNE SYSTEM",1
OXIDOREDUCTASE/SUBSTRATE,1
SUMO CONJUGATING ENZYME,1
ATP binding Protein,1
"PLANT PROTEIN, ANTIBIOTIC",1
"LIPID BINDING, PEPTIDE BINDING",1
"TRANSCRIPTION REGULATION, RECEPTOR",1
ALPHA-AMYLASE,1
"Structural genomics, structural protein",1
cell cycle/inhibitor,1
ATTRACTIN,1
CONDENSING ENZYMES,1
OXIDOREDUCTASE(CHNH(D)-NAD+ OR NADP+(A)),1
"MEMBRANE PROTEIN, VIRAL PROTEIN",1
HNF-3 HOMOLOGUES,1
HEPATOCYTE GROWTH FACTOR,1
S1 RNA-BINDING DOMAIN,1
"Transcription regulator, oxidoreductase",1
"Structural genomics, transferase",1
VENOM,1
FORMIN BINDING PROTEIN,1
"HYDROLASE, REPLICATION",1
TUMOUR SUPPRESSOR,1
PROTEIN TRAFFICKING,1
"ENDOCYTOSIS/EXOCYTOSIS,SIGNALING PROTEIN",1
PROTEIN BINDING INHIBITOR,1
"RNA BINDING PROTEIN, PROTEIN BINDING",1
Oxidoreductase Activator,1
"REPLICATION, TRANSCRIPTION REGULATOR",1
FUNGICIDE,1
"LIPID BINDING PROTEIN, PROTEIN FIBRIL",1
HYDROLASE (0-GLYCOSYL),1
Replication/Chaperone,1
"LYASE, DNA BINDING PROTEIN",1
KILLER CELL INHIBITORY RECEPTOR,1
KINASE (TRANSPHOSPHORYLATING),1
"signaling protein, hydrolase",1
ALU DOMAIN,1
TRANSLATION INITIATION FACTOR,1
HISTIDINE KINASE,1
apoptosis/inhibitor,1
TRANSCARBAMYLASE,1
NK CELL,1
Cytokine Receptor,1
"Oxidoreductase, hydrolase",1
"GENE REGULATION, PROTEIN BINDING",1
"RNA BINDING PROTEIN, GENE REGULATION",1
"REPLICATION,OXIDOREDUCTASE",1
"Antibiotic, plant protein",1
CYTOKINE Receptor,1
"structural genomics, hydrolase",1
"replication, hydrolase",1
DOUBLE STRANDED RNA BINDING DOMAIN,1
ALLOSTERY,1
IGG-BINDING PROTEIN,1
Signaling protein complex,1
Laminin Binding Protein,1
Recombination/DNA binding,1
PRE-MRNA PROCESSING PROTEIN,1
RNA-BINDING,1
MUTANT STABILITY,1
TELOMERASE-BINDING PROTEIN,1
INTRON-ENCODED,1
"Peptide,Transferase",1
"cell adhesion, Membrane Protein",1
"Cell Adhesion, Membrane Protein",1
Endonuclease Inhibitor,1
CALCIUM-REGULATED MUSCLE CONTRACTION,1
Contractile protein regulator,1
RNA BINDING PROTEIN/CHIMERA,1
ELECTRON TRANSPORT (COPPER BINDING),1
WILLEBRAND,1
APPA,1
"STRUCTURAL GENOMICS, GENE REGULATION",1
MOLYBDOPTERIN BIOSYNTHESIS,1
"SIGNALING PROTEIN, TRANSLATION",1
ADP RIBOSE-BINDING PROTEIN,1
PROTOHEME FERRO-LYASE,1
"STRUCTURAL GENOMICS, STRUCTURAL PROTEIN",1
UBIQUITIN-BINDING DOMAIN,1
"APOPTOSIS, CHAPERONE",1
ATTACHMENT PROTEIN,1
DOUBLE-STRANDED DNA BINDING DOMAIN,1
LIGASE(PEPTIDOGLYCAN SYNTHESIS),1
PEPTIDOGLYCAN,1
OXIDOREDUCTASE/OXIDOREDUCTASE INIHBITOR,1
NUCLEOSIDE PHOSPHORYLASE,1
PECTATE CLEAVAGE,1
P53 TETRAMERIZATION,1
GAMMA-CARBOXY GLUTAMIC ACID,1
"Transferase, SIGNALING PROTEIN",1
Transferase/Oxidoreductase,1
"REPLICATION, PEPTIDE BINDING PROTEIN",1
VIRUS PROTEIN,1
ZINC-FINGER PROTEIN,1
PHOSPHOLIPID ANALOG,1
HYDROLASE  INHIBITOR,1
GLUCOSIDASE,1
PROTEIN INHIBITOR,1
OXIDORECCTASE,1
EXUDATE PROTEIN,1
hYDROLASE/hYDROLASE iNHIBITOR,1
GLUCONEOGENESIS,1
Sterol binding protein,1
HYDROLASE (ENDOGLUCANASE),1
INTEIN,1
SYNTHETIC PROTEIN MODEL,1
ANTIBIOTIC CHROMOPROTEIN,1
CYCLOALTERNAN BINDING PROTEIN,1
ACTIN DEPOLYMERIZATION FACTOR,1
"PROTEIN TRANSPORT, CHAPERONE REGULATOR",1
OXIDOREUCTASE,1
ADP-RIBOSE BINDING PROTEIN,1
IG DOMAIN,1
ATP SYNTHESIS,1
Polymerase-binding protein,1
Transcription/Transcription Inhibitor,1
CLOSTRIDIAL NEUROTOXIN,1
"Antifreeze protein, Cell adhesion",1
COMPLEX (HYDROLASE/PRODUCT),1
ELECTRON TRANSPORT (CUPROPROTEIN),1
HYDROLASE ZYMOGEN,1
CYTOPLASMIC PROTEIN,1
Transport Protein/Membrane Protein,1
AMYLOID PEPTIDE,1
TOXIN/SUGAR BINDING PROTEIN,1
UBIQUITIN-LIKE PROTEIN,1
POLYSACCHARIDE DEGRADATION,1
VIRAL PROTEIN/TRANSFERASE,1
Hydrolase4/Hydrolase Inhibitor,1
GAMMA-CARBOXYGLUTAMIC ACID,1
TRANSDUCTION PROTEIN,1
HYDROLASE(ACTING IN CYCLICAMIDINES),1
PLP-BINDING PROTEIN,1
NUCLEIC ACID BINDING,1
HEME PROTEIN OF ELECTRON TRANSPORT,1
IMMUNOGLOBULIN FOLD,1
STRUCTURE FROM CYANA 2.1,1
"Signaling protein, Structural protein",1
"Structural protein, Cell cycle",1
DE NOVO DESIGN,1
"GENE REGULATION, DNA BINDING PROTEIN",1
RIBOSOME BINDING,1
"RIBOSOME, HYDROLASE",1
COMPLEX(SERINE ESTERASE/INHIBITOR),1
"viral protein, replication",1
Signaling Protein/MEMBRANE PROTEIN,1
Periplasmic binding protein,1
TARGETING PEPTIDE,1
OXGENASE,1
RIBONUCLEOTIDE REDUCTASE,1
PHOTOSYSTEM II,1
FATTY ACID SYNTHESIS PROTEIN,1
Virulence Factor,1
PROTEINASE INHIBITOR (CHYMOTRYPSIN),1
POLYMERASE BINDING PROTEIN,1
LIM DOMAIN CONTAINING PROTEINS,1
PHOSPHOLIPID-BINDING PROTEIN,1
FATTY ACID-BINDING,1
PEROXIDASE(DONOR:H2O2 OXIDOREDUCTASE),1
Hydrolase/hydrolase activator,1
DNA BINDING (VIRAL),1
"BIOSYNTHESIS, LIGASE",1
"oxidoreductase, metal-binding protein",1
"IMMUNE SYSTEM, Protein binding",1
SUGAR BINDING PROTEN,1
TRANSDUCER,1
"TRANSCRIPTION, METAL BINDING PROTEIN",1
"SUGAR BINDING PROTEIN, TRANSFERASE",1
TELOKIN-LIKE PROTEIN,1
CARDIAC STIMULANT,1
THREE-HELIX BUNDLE,1
RNA CAP,1
"PROTEIN BINDING, ONCOPROTEIN",1
MUTATOR PROTEIN,1
COLD-ACTIVITY,1
LATE PROTEIN,1
"TRANSCRIPTION,TRANSLATION,HYDROLASE",1
pheromone binding protein,1
ADENOSINE BINDING PROTEIN,1
TRANSCRIPTION ACTIVATION,1
SEA ANEMONE TOXIN,1
DNA-BINDING MOTIF,1
CALMODULIN-BINDING,1
"Sugar binding protein, toxin",1
BETA-AMYLASE,1
LACTOSE SYNTHASE,1
cellulosome,1
"LIGASE, LYASE",1
Immune System/Protein Binding,1
Chemokine binding protein,1
Immune system/protein binding,1
"SIGANLING PROTEIN,TRANSFERASE",1
THYMIDINE PHOSPHORYLASE,1
COMPLEX (HYDROLASE (O-GLYCOSYL)/CYS),1
"LIPID TRANSPORT, ENDOCYTOSIS/EXOCYTOSIS",1
"Transferase, Cell Cycle",1
"VIRAL PROTEIN,METAL BINDING PROTEIN",1
TARGETING PROTEIN,1
HYDROLASE(AMINOPEPTIDASE),1
COHESIN,1
"De Novo Protein, Immune System",1
HYPOTENSIVE HORMONE,1
HYDROLASE (VASCULARIZATION),1
"CELL ADHESION, CELL CYCLE",1
"DNA BINDING PROTEIN, CYTOKINE",1
HYDROLAST/HYDROLASE INHIBITOR,1
BACTERIAL SUPERANTIGEN,1
"APOPTOSIS, SIGNALING PROTEIN",1
"RIBOSOME, RNA BINDING PROTEIN",1
TRANSFERASE/Transferase inhibitor,1
DNA,1
CARBOHYDRATE,1
NUCLEOTIDE MONOPHOSPHATE KINASE,1
protease inhibitor,1
BACTERIAL ADHESIN,1
ADP-RIBOSE-BINDING-PROTEIN,1
COPPER TRANSPORT,1
"Membrane Protein, Transferase",1
CONTRACTILE SYSTEM PROTEINS,1
TRANSCRIPTION COREPRESSOR,1
"viral protein, dna binding protein",1
Isomerase/Metal-binding protein,1
CELL CYCLE/TRANSCRIPTION,1
"SIGNALING PROTEIN,TRANSFERASE,MEMBRANE PROTEIN",1
"viral protein, sugard binding protein",1
POTASSIUM CHANNELS,1
HYDROLASE/GENE REGULATION,1
